Adresse,Code postal,Téléphone,Téléphone sans frais,Télécopieur,Courriel,Site Internet,Total: PSL,Total: HLM,Total: Total
" 45, rue Saint-Pierre", G5L 6J7, (418) 722-8535,,, comptabilite@atena.qc.ca,,5,0,5
" 1, Montée des Pins", G0L 4H0, (418) 855-9999,,, lavilladespins@hotmail.ca,,9,0,9
" 1310, 4e Avenue, appartement A", G0R 1Z0,,,, denise41n@hotmail.com,,4,0,4
" 44, rue Sainte-Ursule, app .206", G5J 2Y2, (418) 631-1650,,, cooplebocage@hotmail.com,,4,0,4
" 476, rue Lafontaine", G5R 3C2,,,, comptabilite@atena.qc.ca,,5,0,5
" 132, rue Lavoie", G5L 5Y4,,,, comptabilite@atena.qc.ca,,2,0,2
" 450, rue Notre-Dame , Case postale 193", G0L 3Y0, (418) 894-8054,,, fleurdecoton@live.ca,,0,10,10
" 58, rue Soucy , Case postale 37", G0J 1P0, (418) 509-9618,,, doum_077@hotmail.com,,0,8,8
" 507, rue Tessier, appartement 3", G5L 4L8,,,, coopdelariviere@live.ca,,2,0,2
" 102, rue Berger , Case postale 92", G0K 1M0, (418) 775-7294,,, nathalie_girard@hotmail.com,,0,0,0
" 152, rue Gérard-Roussel , Case postale 2006", G0L 1B0, (418) 736-8151,,, coop_lebic@hotmail.com,,0,0,0
" 30, rue Racine Est, bureau 110", G7H 1P5,,,, gestion.fechas@fechas.ca,,9,0,9
" 391-A, rue Dréan", G7J 3K5, (418) 543-6858,, (418) 543-4698, gestion.fechas@fechas.ca,,5,0,5
" 9-1247, rue Adélard-Plourde", G7H 6V3, (418) 543-8150,,, gestion.fechas@fechas.ca,,4,0,4
" 1041, rue Saint-Chrystophe", G8K 1Y8, (418) 630-3798,, (418) 630-2504, coopainesst-felicien@hotmail.com,,14,0,14
" 200, rue de Montigny , 112, avenue de L'Église", G9P 0B9, (418) 276-7551,,, vmorin@waskahegen.com,,1,0,1
" 3708, rue de Champlain, app. 14", G7X 1M2,,,, coopbeauregard@videotron.ca,,6,0,6
" 301, rue Montcalm, app. 1", G7J 2V1, (418) 543-6858,, (418) 543-4698, gestion.fechas@fechas.ca,,0,8,8
" appartement 2 , 856, chemin du Pont-Taché", G8B 5B8,,,,,,4,0,4
" 343, côte du Collège", G8B 3G2, (418) 543-6858,, (418) 543-4698, gestion.fechas@fechas.ca,,1,0,1
" 251, rue Alarie, app. 7", G8B 1B1,,,, line.guay@live.fr,,3,0,3
" Bureau 209 , 44, rue des Cornouillers", G8J 2C5,,,, cooperativestprime@gmail.com,,4,0,4
