Adresse,Code postal,Téléphone,Téléphone sans frais,Télécopieur,Courriel,Site Internet,Total: PSL,Total: HLM,Total: Total
" 151, rue Saint-Jean-Baptiste , Case postale 4", G0L 1K0, (418) 898-2152,, (418) 898-2093, lesamisdesaines@bellnet.ca,,0,11,11
" 589, rue Richard", G0L 4K0, (418) 851-2861,,,,,10,0,10
" 315, rue Saint-Jean-Baptiste Est", G5L 1Y8, (418) 723-0441,,, direction@larrimage.com,,1,0,1
" 261, avenue Chapleau", G0L 3Y0, (418) 308-0724,,, envol.aphk@videotron.ca,,8,0,8
" 101-C, rue Collin , Case postale 387", G0L 2P0, (418) 963-2272,,, direction.cval@gmail.com,,16,0,16
" 119, rue Claude , Case postale 99", G0L 2P0,,,, centremulti@hotmail.com,,6,0,6
" 293, rue Saint-Louis", G5L 9H2, (418) 722-0463,,, cpaarn.dg@gmail.com,,34,0,34
" 172, rue Saint-Jacques", G5L 4G8, (418) 724-4337,, (418) 724-2603, secretariat@centredecrisebsl.qc.ca,,0,0,0
" 145, avenue Ulric-Tessier", G0J 3H0, (418) 737-4590,,,,,17,0,17
" 122, rue Principale, bureau 175 , Case postale 69", G0L 2H0, (418) 493-2142,, (418) 493-2142, residence_desjardins@hotmail.com,,31,0,31
" 476, rue Principale Est", G0L 2V0, (418) 898-3214,,, moncheznous@derytele.com,,5,0,5
" Bureau 212 , 75, avenue des Retraites", G5H 1E7, (418) 775-5295,, (418) 775-9675, lucie.berube@omhlamitis.ca,,22,6,28
" 125, rue Chouinard", G0J 2L0,,,, villavm@cgocable.ca,,10,0,10
" 909, rue Principale", G0L 3N0,,,, corpjeannoise@outlook.com,,2,0,2
" 6000, rue Adélard-Lapointe", G0L 3J0,,,, domainedespivoines@videotron.ca,,9,0,9
" 135, rue de la Seigneurie", G0L 4K0, (418) 851-1117,,, domaine3p@gmail.com,,15,0,15
" 76, 2e Rue Est", G5L 0A6, (418) 722-8449,,, direction@maisonmarieelisabeth.ca,,0,0,0
" 44, des Chauffailles", G5R 4E1, (581) 337-7131,,, fondation@maisondesjardinskrtb.ca,,0,0,0
" 5, rue de l'Église Ouest", G0L 4G0, (418) 963-2967,,, admin@ste-rita.ca,,3,0,3
" 31, rue de l'Église", G0L 1T0, (418) 893-5000,, (418) 893-7228, habitations31@gmail.com,,1,0,1
" 1058, rue Principale , Case postale 9", G0J 1A0, (418) 756-3554,, (418) 756-3552, albertville@mrcmatapedia.qc.ca,,3,0,3
" 2, rue Verreault", G0L 1K0, (418) 714-2811,,, johannelaf@hotmail.com,,9,0,9
" 310, avenue Principale", G5T 1M4, (418) 853-5013,,, habitationsdegelis@videotron.ca,,27,0,27
" 61, rue des Érables", G0K 1P0,,,, pavillonluceville@gmail.com,,6,0,6
" 74, rue Principale , Case postale 130", G0K 1V0,,,, habecolda@outlook.com,,2,0,2
 Case postale 2013, G0L 1G0, (418) 862-7447,,, mpkakou44@gmail.com,,3,0,3
" 50, rue Fournier, appartement 16", G0J 3K0, (418) 536-3266,,, michelhalle55@yahoo.ca,,1,0,1
" 21, rue Nicolas-Rioux", G0L 1P0, (418) 869-3317,,, habitationsnr@outlook.com,,3,0,3
" 141, rue Saint-Jean-Baptiste", G0L 1K0, (418) 898-3637,,, leshabitationspopulaires2012@gmail.com,,5,0,5
" 175, rue Bellevue", G0L 2L0,,,, jessy.berube@mallette.ca,,8,0,8
" 18, rue Martin", G0L 3X0, (418) 852-2525,,, leshabitationsst.pacome@gmail.com,,11,0,11
" 2, rue Saint-Louis", G0K 1P0,,,, sylviaomh@cgocable.ca,,8,0,8
" 321, rue de l'Église", G0L 2M0, (418) 308-0838,,, administration@habitationssaintbruno.ca,,10,0,10
" 212, rue du Couvent", G0L 2X0, (418) 868-0300,, (418) 248-4562, manoirstepiphane@hotmail.com,,4,0,4
" 1, rue des Habitations", G0L 3K0, (418) 497-2655,,, villasthonore@outlook.com,,0,0,0
" 475, rue Monette", G0L 1J0, (418) 859-3207,,, habitationsstvallier@gmail.com,,16,0,16
" 19-A, rue Turcotte", G0J 3A0, (418) 776-2936,,, stnoel@mrcmatapedia.quebec,,2,0,2
" 306, rue Principale", G0L 3W0, (418) 867-8750,, (418) 867-8750, habitationsdescones@hotmail.com,,6,0,6
 Case postale 5057, G0L 1E0, (418) 854-7160,, (418) 854-9256, autretoit@bellnet.ca,,0,0,0
 Case postale 274, G4W 3N2, (418) 562-3377,,, adgigogne@hotmail.com,,5,0,5
" 5, rue de la Fabrique", G0L 2K0, (418) 862-7780,,, residencest-arsene@hotmail.com,,11,0,11
" 12, rue Saint-Pierre, bureau 10", G5L 6C1, (418) 722-8535,,, comptabilite@atena.qc.ca,,5,0,5
" 307, rue Bon-Pasteur", G4W 3E1, (418) 562-3196,, (418) 562-8323, office.matane@globetrotter.net,,24,0,24
" 141, avenue de la Gare , Case postale 392", G5H 3L2, (418) 775-8933,, (418) 775-8911, maisontournesol141@gmail.com,,0,8,8
" 9, rue du Domaine", G5R 2P6, (418) 867-8580,,, admin@labouffeedair.com,,0,0,0
" Bureau 300 , 201, rue des Quatre-Vents", G0L 3B0,,,, maisonoctavie1@gmail.com,,10,0,10
 Case postale 3251, G0L 3Y0, (418) 492-2358,,, mado_30@hotmail.com,,5,0,5
" 33, rue de la Jeunesse", G0L 2B0,,,, manoir.alphonse.beaulieu@gmail.com,,7,0,7
" 1, rue des Pommiers", G5R 5K9, (418) 862-2929,,, DG.ManoirdesPommiers.RDL@gmail.com,,14,0,14
" 16, route de l'Église , Case postale 555", G0L 2J0, (418) 605-1829,,, manoir.st-antonin@videotron.ca,,15,0,15
" 5, rue des Pommiers", G5R 5K9, (418) 867-4607,,, notremaison@hotmail.ca,,8,0,8
" 110, rue Deschamps", G0L 2Y0, (418) 899-1661,,, oasisdesaines@bellnet.ca,,0,0,0
" 5, rue Principale Sud , Case postale 10", G0L 3L0, (418) 497-1186,, (418) 497-1186, pavillondurocher5@outlook.com,,0,24,24
" 97, rue Saint-Charles", G0L 3S0, (418) 854-1779,,, residence.parent@videotron.ca,,15,0,15
" 723, route 289", G0L 2G0, (418) 495-3333,,, residencedesaines@hotmail.com,,4,0,4
" 151, rue Saint-Louis , Case postale 4151", G5L 0A4, (418) 724-0600,, (418) 724-9725, info@aceq.org, www.aceq.org,0,33,33
" 18, place de l'Église", G0J 2W0, (418) 743-2292,, (418) 743-2914, residencesleonaises@gmail.com,,9,0,9
" 7-B, 5e Rue , Case postale 323", G5L 7C3, (418) 722-7233,,, direction@laressource.tv,,36,0,36
" 6, route du Rang 2", G0J 1J0, (418) 756-1803,,, admseigneurie@cgocable.ca,,15,0,15
" 407, 5e rue Rouleau", G0R 1Z0, (418) 856-2202,,, direction@tandem-jeunesse.com,,0,0,0
" 257, rue Saint-Jean-Baptiste", G0V 1J0, (418) 272-3431,,, lesainesdelanse@derytele.com,,9,0,9
" 1255, rue des Mélèzes", G8K 2W7, (418) 679-5453,, (418) 679-5806, asso.hand.goeland@bellnet.ca,,0,10,10
" 1005, rue Verchères", G8K 2Z5,,,, ajis.repit@gmail.com,,0,0,0
" Bureau 204 , 112, avenue de l'Église", G8L 4W4, (418) 276-7551,,, cgaudreault@waskahegen.com,,0,0,0
" 3958, rue de la Fabrique", G7X 3N2, (418) 547-3644,, (418) 547-9304, escale@centreescale.com,,0,12,12
" 750, rue des Pins Oeust", G3K 1M6, (418) 668-4758,, (888) 668-4758, Info@ctasaglac.com,,0,6,6
" 114, avenue Bergeron", G0W 2P0, (418) 345-2020,,, complexe.grandmont@outlook.fr,,3,0,3
" 109, rue Bélair", G0W 1K0, (418) 374-2610,,, cle2011@hotmail.ca,,0,8,8
" 7, rue Martel", G0W 2K0, (418) 349-8455,,, froh@rqoh.com,,0,7,7
" 15, avenue du Moulin", G0W 1P0, (418) 274-3638,,, residenceblesdor15@gmail.com,,6,0,6
" Bureau 204 , 112, avenue de l'Eglise", G8L 4W4,,,, corpo@waskahegen.com,,2,0,2
" 550, chemin Principal , Case postale 9", G0W 2M0, (418) 274-6244,,, domainebeauxjours-omh@derytele.com,,0,8,8
" 285, avenue Eymard Nord", G8B 5J3, (418) 668-3357,, (418) 668-0534, gclaad@cgocable.ca,,0,10,10
" 159, 1re rue", G0W 2V0, (418) 662-5525,,, oasisdesbatisseurs@hotmail.fr,,10,0,10
" 25, rue Néron, bureau 200", G7H 8B7, (418) 543-9670,, (418) 543-7862, habitationpopulaire@bellnet.ca,,0,6,6
" 25, rue Néron, bureau 200", G7H 8B7, (418) 543-9670,, (418) 543-7862, habitationpopulaire@bellnet.ca,,0,8,8
" 600, rue Gauthier", G0W 1Z0, (418) 547-8523,, (418) 542-1732, finances@omhsaguenay.qc.ca,,0,4,4
" 25, rue Néron, bureau 200 , Chicoutimi", G7H 8B7, (418) 543-9670,, (418) 543-7862, habitationpopulaire@bellnet.ca,,0,6,6
" 225, rue Labonté", G8N 0C7, (581) 718-1203,,, havrecurehebert@gmail.com,,15,0,15
" 206, rue Racine Est", G7H 1R9, (418) 542-6472,, (418) 542-5768, jgirard@omhsaguenay.qc.ca,,103,0,103
" 1213, avenue du Rocher", G8M 3X4, (418) 274-6373,, (418) 274-2587, macn6373@gmail.com,,26,0,26
" 86, avenue Roberval , Case postale 131", G8H 2N6, (418) 275-6862,, (418) 275-8279, administration@maisonducheminement.com,,0,8,8
" 4937, boulevard du Royaume", G7X 7V5, (418) 695-3405,, (418) 548-3095, renaudchristine@hotmail.com,,0,21,21
" 1969, rue Price", G7X 5S2, (418) 695-6026,, (418) 695-3125, finances@mnelan.com,,9,21,30
" 546, boulevard Talbot", G7H 4A5, (418) 543-5822,,, maisonnee.evelyne@gmail.com,,0,0,0
" 25, rue de la Plaine, bureau 100", G0W 1G0, (581) 816-1326,,, manoirchambordais@outlook.com,,11,0,11
" 615, avenue de la Fabrique", G0W 1R0, (418) 258-3845,, (418) 258-3845, retraite615@gmail.com,,3,0,3
" 4822, rue des Peupliers", G8J 1E6, (418) 256-8222,,, residencedoree8222@gmail.com,,8,0,8
" 165, rue de l'Ecole", G7H 3X8,,,, habitationpopulaire@bellnet.ca,,16,0,16
" 1022, rue Marcelin", G0W 1N0, (581) 817-1214,,, residence.blanchet@ville.desbiens.qc.ca,,14,0,14
" 360, rue Brassard", G8H 3M2, (418) 275-5468,,, residencerose2022@gmail.com,,0,12,12
" 6159, rue Lapointe", G7N 0A4,,,, residencelaterroise@live.ca,,13,0,13
" 1000, 1re Rue Est , Case postale 100", G0W 1Y0,,,, normand.desgagne@ville.ascension.qc.ca,,9,0,9
" 38, rue Frontenac", G7G 2C5,,,, habitationpopulaire@bellnet.ca,,18,0,18
" 2098, rue Octave", G7S 4A7,,,, habitationpopulaire@bellnet.ca,,12,0,12
" 524, rue St-Augustin", G7J 2J9, (418) 549-6462,,, habitationpopulaire@bellnet.ca,,13,0,13
" 996, 1re Rue", G8K 1Y4, (418) 679-0069,, (418) 679-2525, residencestemonique@hotmail.com,,24,0,24
" 99, route de l'Ermitage", G0W 1V0, (581) 818-0109,,, manoirdeslacs@hotmail.com,,9,0,9
" 649, rue Gagné", G0W 1Z0, (418) 547-1788,,, domainedelamontagne7802@gmail.com,,9,0,9
" 458, 2e Rang Ouest", G8G 1M1,,, (418) 349-2395, villadupresbytere@hotmail.com,,4,0,4
" 218, rue Saint-Sauveur", G1N 4S1, (418) 527-8839,, (418) 527-8738, larchecn@gmail.com,,4,23,27
" 1055, boulevard des Chutes", G1E 2E7,,, (418) 624-7444, direction@autismequebec.org,,0,0,0
" 1199, 4e Avenue", G1J 3B4,,,, michael.doyon@actionhabitation.qc.ca,,124,0,124
" 510, boul. Gaudreau", G3M 1L7, (418) 648-1278,, (418) 648-6214, daniel.stgermain@actionhabitation.qc.ca,,5,0,5
" 3894, boulevard Sainte-Anne", G1E 0K5, (418) 667-6801,,, anne.simard@crcpavillon.com,,0,0,0
 1380A boul.René-Lévesque Ouest, G1S 1W6, (418) 688-4240,,,,,0,0,0
" 20, boulevard Charest Est", G1K 3G2, (418) 523-6021,, (418) 523-4424, emile.piche@centrejacquescartier.org,,0,27,27
" 2233, avenue des Martyrs , Case postale 333", G1E 7E4, (418) 661-7909,, (418) 661-5184, corporationhg@videotron.ca,,0,31,31
" 1199, 4e Avenue", G1J 3B4,,,, daniel.stgermain@actionhabitation.qc.ca,,18,0,18
" 989, rue Saint-Edouard", G0A 4K0, (418) 639-9990,, (418) 639-9993,,,0,0,0
" 32, rue du Tricentenaire", G0A 2K0, (418) 822-2662,, (418) 406-3190, villa.mesanges@videotron.ca,,27,0,27
" 21, rue Vermont, bureau 208", G4A 1H7, (418) 439-1665,,, les-patriotes@hotmail.com,,8,0,8
" 190, avenue Bernatchez RC10", G1M 0B1, (418) 682-6999,,, direction@domaineparcsavard.com,,90,0,90
" 1199, 4e Avenue", G1J 3B4, (418) 656-9800,,,,,0,0,0
" 1711, boul. Valcartier", G0A 4S0,,,, hcsgdv@videotron.ca,,10,0,10
" a/s Action-Habitation de Québec , 1199, 4e Avenue", G1J 3B4, (418) 648-1278,, (418) 648-6214, veronique.auger@actionhabitation.qc.ca,,0,22,22
" 4, rue des Audets , Case postale 101", G0A 3V0, (418) 614-2495,,, cjulien@frohqc.com,,0,10,10
" 40, rang Ste-Catherine", G0A 2M0, (418) 240-2122,, (418) 635-2292, helene@alimentscharlevoix.ca,,0,14,14
 12675 Boul. Valcartier, G2A 2N4, (418) 648-1278,,, denis.drapeau@actionhabitation.qc.ca,,27,0,27
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,, (418) 522-0267, kgiguere@ipq.quebec,,0,24,24
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,, (418) 522-0267, impq@ipq.quebec, www.ipq.quebec,21,0,21
" 1199, 4e Avenue", G1J 3B4,,,, daniel.stgermain@actionhabitation.qc.ca,,33,0,33
" 754, côte d'Abraham", G1R 1A1, (418) 649-9402,, (418) 649-9357, metatransfert3@outlook.com,,13,58,71
" 455, avenue des Oblats", G1K 8P2,,,, cgiroux@ipq.quebec,,14,0,14
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 648-1278,,, daniel.stgermain@actionhabitation.qc.ca,,32,0,32
" a/s Immeuble Populaire de Québec , 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,, (418) 522-0267, impq@ipq.quebec, www.ipq.quebec,5,0,5
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,,, nsimard@ipq.quebec,,24,0,24
" 25, chemin du Village", G3B 2M4, (418) 316-5525,,, hsd@ccapcable.com,,21,0,21
" 193, avenue Saint-Michel", G3L 3W4, (418) 337-4558,,, habsr2012@hotmail.ca,,9,0,9
" 1199, 4e Avenue", G1J 3B4,,,, a.coderre@bellnet.ca,,48,0,48
" 1685, Boul. Louis-XIV, bur. 100", G2L 0C7, (418) 627-2410,,, gestionnairehsf@hotmail.com,,47,0,47
" Bureau F. 107-14 , 525, boulevard Wilfrid-Hamel Est", G1M 2S8,,,, helene.blondeau@irdpq.qc.ca,,0,0,0
" Bureau A 300 , 2160, chemin Sainte-Foy", G1V 4T5, (418) 652-1320,,, rejeanduc@videotron.ca,,33,0,33
" 945, rue des Soeurs-de-la- , Charité", G1R 1H8,,,,,,0,0,0
 303-200 rue Panet, G1N 3V8,,,, gestiondsss@gmail.com,,33,0,33
" 1199, 4e Avenue", G1J 3B4,,,, martin.larue@actionhabitation.qc.ca,,56,0,56
" 275, rue du Parvis , Bureau 205A", G1K 6G7, (418) 571-0229,,,,,0,0,0
" 1199, 4e Avenue", G1J 3B4, (418) 648-1278,,, thomas.laprise@actionhabitation.qc.ca,,43,0,43
" Gestion à IPQ Inc. , 95, rue de la Pointe-aux-Lièvres", G2E 1C3, (418) 522-8899,,, impq@immeublepopulaire.qc.ca,,0,61,61
" 1199, 4e Avenue", G1J 3B4,,,, denis.drapeau@actionhabitation.qc.ca,,27,0,27
" 12015, rue de L'Hôpital", G2A 2T6, (418) 407-6378,, (418) 407-6880, info@logisconfort.com,,26,0,26
" 1333, Grand Rang", G3L 4K1,,,, comptabilite-villa@derytele.com,,0,0,0
" 12057, rue de l'Hôpital", G2A 2T6, (418) 845-3072,,, maisondejob@maisondejob.org,,0,0,0
" 188, rue Principale", G0A 3B0, (418) 268-8721,,, quik14@derytele.com,,2,11,13
" 1199, 4e Avenue", G1J 3B4, (418) 648-1278,,, martin.larue@actionhabitation.qc.ca,,69,0,69
" 485, rue du Pont", G1K 0H6,,,, secretariat.general@lauberiviere.org,,18,0,18
" 1199, 4e Avenue", G1J 3B4, (418) 688-9024,, (418) 688-4539, direction@maisonmr.com,,0,0,0
" 1199, 4e Avenue", G1J 3P4, (418) 648-1278,,, danstg@actionhabitation.qc.ca,,11,0,11
" 90, rue du Collège", G3A 1H2, (514) 265-5417,,, r_david23@hotmail.com,,7,0,7
" Bureau administratif , 815, rue de Villers", G1V 4M4,,,, manoirlg@videotron.ca,,14,0,14
